iss_position_longitude,iss_position_latitude,timestamp,message
-136.0654,-44.8613,1658418499,success
-136.0261,-44.8613,1658418499,success
-136.0261,-44.8769,1658418500,success
-135.9867,-44.8925,1658418500,success
-135.9474,-44.8925,1658418500,success
-135.908,-44.9081,1658418501,success
-135.908,-44.9236,1658418501,success
-135.8686,-44.9391,1658418501,success
-135.8292,-44.9391,1658418502,success
-135.7897,-44.9546,1658418502,success
-135.7897,-44.9701,1658418502,success
-135.7503,-44.9701,1658418503,success
-135.7108,-44.9856,1658418503,success
-135.7108,-45.0011,1658418504,success
-135.6713,-45.0011,1658418504,success
-135.6317,-45.0165,1658418504,success
-135.6317,-45.032,1658418505,success
-135.5922,-45.0474,1658418505,success
-135.5526,-45.0474,1658418505,success
-135.5526,-45.0628,1658418506,success
-135.513,-45.0782,1658418506,success
-135.4734,-45.0782,1658418506,success
-135.4337,-45.0936,1658418507,success
-135.4337,-45.109,1658418507,success
-135.3941,-45.109,1658418507,success
-135.3544,-45.1243,1658418508,success
-135.3544,-45.1397,1658418508,success
-135.3147,-45.1397,1658418508,success
-135.275,-45.155,1658418509,success
-135.275,-45.1703,1658418509,success
-135.2352,-45.1856,1658418509,success
-135.1954,-45.1856,1658418510,success
-135.1556,-45.2009,1658418510,success
-135.1556,-45.2162,1658418511,success
-135.1158,-45.2162,1658418511,success
-135.076,-45.2314,1658418511,success
-135.076,-45.2466,1658418512,success
-135.0361,-45.2466,1658418512,success
-134.9962,-45.2619,1658418512,success
-134.9563,-45.2771,1658418513,success
-134.9164,-45.2771,1658418513,success
-134.9164,-45.2923,1658418513,success
-134.8765,-45.3075,1658418514,success
-134.8365,-45.3226,1658418514,success
-134.8365,-45.3226,1658418514,success
-134.7965,-45.3378,1658418515,success
-134.7565,-45.3529,1658418515,success
-134.7565,-45.3529,1658418515,success
-134.7165,-45.368,1658418516,success
-134.6764,-45.3831,1658418516,success
-134.6764,-45.3831,1658418516,success
-134.6363,-45.3982,1658418517,success
-134.5962,-45.4133,1658418517,success
-134.5962,-45.4133,1658418517,success
-134.5561,-45.4284,1658418518,success
-134.516,-45.4435,1658418518,success
-134.4758,-45.4435,1658418518,success
-134.4758,-45.4585,1658418519,success
-134.4356,-45.4735,1658418519,success
-134.3954,-45.4885,1658418519,success
-134.3954,-45.4885,1658418520,success
-134.3551,-45.5035,1658418520,success
-134.3149,-45.5185,1658418520,success
-134.3149,-45.5185,1658418521,success
-134.2746,-45.5335,1658418521,success
-134.2343,-45.5484,1658418522,success
-134.194,-45.5484,1658418522,success
-134.194,-45.5634,1658418522,success
-134.1537,-45.5783,1658418523,success
-134.1133,-45.5783,1658418523,success
-134.1133,-45.5932,1658418523,success
-134.0729,-45.6081,1658418524,success
-134.0325,-45.623,1658418524,success
-134.0325,-45.623,1658418524,success
-133.9921,-45.6378,1658418525,success
-133.9516,-45.6527,1658418525,success
-133.9516,-45.6527,1658418525,success
-133.9112,-45.6675,1658418526,success
-133.8707,-45.6823,1658418526,success
-133.8302,-45.6823,1658418526,success
-133.8302,-45.6972,1658418527,success
-133.7897,-45.7119,1658418527,success
-133.7491,-45.7267,1658418527,success
-133.7491,-45.7267,1658418528,success
-133.7085,-45.7415,1658418528,success
-133.6679,-45.7562,1658418528,success
-133.6679,-45.7562,1658418529,success
-133.6273,-45.771,1658418529,success
-133.5867,-45.7857,1658418529,success
-133.546,-45.8004,1658418530,success
-133.546,-45.8004,1658418530,success
-133.5053,-45.8151,1658418531,success
-133.4646,-45.8298,1658418531,success
-133.4646,-45.8298,1658418531,success
-133.4238,-45.8444,1658418532,success
-133.3831,-45.859,1658418532,success
-133.3831,-45.859,1658418532,success
-133.3423,-45.8737,1658418533,success
-133.3015,-45.8883,1658418533,success
-133.3015,-45.9029,1658418533,success
